Variables="x""dx"
Zone t="         0"
i=  65
  6.981212048500187e-01   3.603875336984852e-02
  7.341599582198672e-01   3.647794077464817e-02
  7.706378989945154e-01   3.468911701846045e-02
  8.053270160129759e-01   3.221839608677024e-02
  8.375454120997461e-01   3.014763385806585e-02
  8.676930459578119e-01   2.854543181380598e-02
  8.962384777716179e-01   2.735365579666071e-02
  9.235921335682786e-01   2.560539342894197e-02
  9.491975269972206e-01   2.263712543460539e-02
  9.718346524318260e-01   1.823503744455934e-02
  9.900696898763853e-01   1.022729229350522e-01
  1.092342612811438e+00   1.154088694791491e-01
  1.207751482290587e+00   8.528184773812675e-02
  1.293033330028713e+00   3.401219594602114e-01
  1.633155289488925e+00   2.598889149944572e-01
  1.893044204483382e+00   9.406538130718412e-02
  1.987109585790566e+00   1.132130165558909e-03
  1.988241715956125e+00   4.791609693184151e-03
  1.993033325649309e+00   6.966674350690871e-03
  2.000000000000000e+00   0.000000000000000e+00
Zone t="       103"
i=  65
 -2.000000000000000e+00   2.727732892583512e-01
 -1.727226710741649e+00   2.555524093351098e-01
 -1.471674301406539e+00   2.220382782695582e-01
 -1.249636023136981e+00   1.625983181873940e-01
 -1.087037704949587e+00   9.747798063297097e-02
 -9.895597243166158e-01   1.900939872722385e-02
 -9.705503255893919e-01   2.301610906387241e-02
 -9.475342165255195e-01   2.650460438592883e-02
 -9.210296121395907e-01   2.948357783251998e-02
 -8.915460343070707e-01   3.164620751290159e-02
 -8.598998267941691e-01   3.319997334995928e-02
 -8.266998534442098e-01   3.411148282440801e-02
 -7.925883706198018e-01   3.446390576741509e-02
 -7.581244648523867e-01   3.435749462948146e-02
 -7.237669702229053e-01   3.405849939209416e-02
 -6.897084708308111e-01   3.374577188613304e-02
 -6.559626989446781e-01   3.344708404879737e-02
 -6.225156148958807e-01   3.319637004738785e-02
 -5.893192448484929e-01   3.284509877526243e-02
 -5.564741460732304e-01   3.223425024634119e-02
 -5.242398958268892e-01   3.110713080125604e-02
 -4.931327650256332e-01   2.922602106148420e-02
 -4.639067439641490e-01   2.659687615545681e-02
 -4.373098678086922e-01   2.376444803610478e-02
 -4.135454197725874e-01   2.174928423172284e-02
 -3.917961355408646e-01   2.207239171939124e-02
 -3.697237438214733e-01   2.697646452478442e-02
 -3.427472792966889e-01   4.003592271236989e-02
 -3.027113565843190e-01   6.358268719329907e-02
 -2.391286693910200e-01   8.683239969824852e-02
 -1.522962696927714e-01   8.476809477772351e-02
 -6.752817491504792e-02   5.332062142342287e-02
 -1.420755349162506e-02   1.567506247817874e-02
  1.467508986553678e-03   2.027652829229676e-02
  2.174403727885044e-02   8.445357105068863e-02
  1.061976083295391e-01   1.588280521625447e-01
  2.650256604920838e-01   1.662121536818537e-01
  4.312378141739375e-01   9.914811525788614e-02
  5.303859294318236e-01   4.271720906363119e-02
  5.731031384954548e-01   1.993658285703426e-02
  5.930397213524891e-01   1.374579533566567e-02
